Reporting period,ORGANIZATION,DONOR,CLUSTER,ACTIVITY DESCRIPTION,IMPLEMENTING PARTNER,REGION,DISTRICT                           ,SPECIFIC LOCATION ,RURAL/URBAN         ,STATUS             ,DURATION,START DATE (DD/MM/YY),END DATE (DD/MM/YY),Y_COORD,X_COORD
Quarter III,UNICEF,UNICEF,Protection,7 ( 2 Girls & 5 Boys) Separated Children  0 ( 0 Girls & 0 Boys) Unaccompanied Children,SEDHURO,Lower Juba,Kismayo,Kismayo,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection,Provision of psychosocial activities for children in child friendly spaces/other safe spaces,SEDHURO,Lower Juba,Kismayo,Kismayo,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection, prevention and response of UASC/GBV,SEDHURO,Lower Juba,Kismayo,Kismayo,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection,"                                                            Awarness Raising on GBV prevention, Access to Justice for children, child protection and Service Availibility (Targeted Drought affected Ppe)",SWDC,Banadir ,Dayniile,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNICEF,UNICEF,Protection,Survivors of GBV and Child Protection Supported ,SWDC,Banadir ,Dayniile,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNICEF,UNICEF,Protection,                                                                  Recraational Activities for Children in Community child protection centres fro Drought affected people,SWDC,Banadir ,Dharkenley,Mogadishu,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNICEF,UNICEF,Protection,2 ( 1 Girls & 1 Boys) Separated Children  0 ( 0 Girls & 0 Boys) Unaccompanied Children,SEDHURO,Lower Juba,Afmadow,Afmadow,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection,1 ( 0 Girls & 1 Boys) Separated Children  0 ( 0 Girls & 0 Boys) Unaccompanied Children,SEDHURO,Lower Juba,Afmadow,Afmadow,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection,1 ( 0 Girls & 1 Boys) Separated Children  0 ( 0 Girls & 0 Boys) Unaccompanied Children,SEDHURO,Lower Juba,Afmadow,Afmadow,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection,Provision of psychosocial activities for children in child friendly spaces/other safe spaces,SEDHURO,Lower Juba,Afmadow,Afmadow,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection, prevention and response of UASC/GBV,SEDHURO,Lower Juba,Afmadow,Afmadow,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection,4 ( 2 Girls & 2 Boys) Separated Children  0 ( 0 Girls & 0 Boys) Unaccompanied Children,SEDHURO,Lower Juba,Afmadow,Dhobley,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection,0 ( 0 Girls & 1 Boys) Separated Children  0 ( 0 Girls & 0 Boys) Unaccompanied Children,SEDHURO,Lower Juba,Afmadow,Dhobley,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection,2 ( 2 Girls & 0 Boys) Separated Children  0 ( 0  Girls & 0 Boys) Unaccompanied Children  ,SEDHURO,Lower Juba,Afmadow,Dhobley,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection,Provision of psychosocial activities for children in child friendly spaces/other safe spaces,SEDHURO,Lower Juba,Afmadow,Dhobley,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,UNICEF,UNICEF,Protection, prevention and response of UASC/GBV,SEDHURO,Lower Juba,Afmadow,Dhobley,,Ongoing ,,12/05/2017,30/11/2019,,
Quarter III,DRC,SHF,Protection,Establishment of community based protection in Kahda for case identification in the camps,DRC,Banadir ,Dayniile,"Dagane, Rahmatu Rabi, Kismayo",,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,DRC,SHF,Protection,Establishment of community based protection in Daynile for case identification in the camps,DRC,Banadir ,Dharkenley,"Samriye, Kordamac , Bulsho weyn",,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,DDG,DFID,Protection,Hilaac section level CPDC forum was conducted on 17th February 2019,DDG,Gedo,Luuq,Hilaac,,Completed,,01/09/2017,01/07/2020,,
Quarter III,DDG,DFID,Protection,Wabari section level CPDC froum was conducted on  on 18th February 2019,DDG,Gedo,Luuq,Wabari,,Completed,,01/09/2017,01/07/2019,,
Quarter III,DDG,DFID,Protection,Sheq mahad section level CPDC forum was conducted on 19th February 2019,DDG,Gedo,Luuq,Sheq-mahad,,Completed,,01/09/2017,01/07/2020,,
Quarter III,DDG,DFID,Protection,Bulo-musley section level CPDC forum wasconducted on 20th February 2019,DDG,Gedo,Luuq,Bulo-Musley,,Completed,,01/09/2017,01/07/2020,,
Quarter III,DDG,DFID,Protection,security and justice coordination forum5,DDG,Gedo,Luuq,Luq town,,Completed,,01/09/2017,01/07/2020,,
Quarter III,DDG,DFID,Protection,Xeer agreeement documentation was conducted for six days ,DDG,Gedo,Doolow,Dolow town,,Completed,,01/09/2017,01/07/2020,,
Quarter III,DDG,DFID,Protection,Town level CPDC forum 5,DDG,Gedo,Doolow,Dolow town,,Completed,,01/09/2017,01/07/2020,,
Quarter III,DDG,DFID,Protection,Security and justice coordination forum5 was conducted,DDG,Gedo,Doolow,Dolow town,,Completed,,01/09/2017,01/07/2020,,
Quarter III,DDG,DFID,Protection,Numbet of community police forums raised by community and responded to by police,DDG,Middle Shabelle,Jowhar,Jowhar town,,Ongoing ,,01/02/2018,01/03/2020,,
Quarter III,DDG,DFID,Protection,numbet of community police forums raised by community and responded to by police,DDG,Middle Shabelle,Jowhar,Jowhar town,,Ongoing ,,01/02/2019,01/03/2019,,
Quarter III,DDG,DFID,Protection,District  security and coordination forum 6,DDG,Middle Shabelle,Jowhar,Jowhar town,,Ongoing ,,01/02/2018,01/03/2019,,
Quarter III,DDG,DFID,Protection,Securuty and Justice coordination forum 4,DDG,Bakool,Xudur,Xudur town,,Ongoing ,,01/09/2017,31/03/2020,,
Quarter III,DDG,DFID,Protection,Xeer review and validation meeting with Guurtiplus,DDG,Bakool,Xudur,xudur town,,Ongoing ,,29/09/2017,31/03/2020,,
Quarter III,DDG,DFID,Protection,Bulow  section CPDC forum 4,DDG,Bakool,Xudur,xudur town,,Ongoing ,,01/09/2017,31/03/2019,,
Quarter III,DDG,DFID,Protection,Moragabey section CPDC forum 4,DDG,Bakool,Xudur,xudur town,,Ongoing ,,01/09/2017,31/03/2019,,
Quarter III,DDG,DFID,Protection,Bulow  section CPDC forum 4,DDG,Bakool,Xudur,Buow section,,Ongoing ,,01/09/2017,31/03/2019,,
Quarter III,DRC,SHF,Protection,key  informants form IDPs and Host Community in Beletweyne ,DRC,Hiraan,Belet Weyne,"Howlwadag, Bundaweyn, Koshin and Hawatako",,Ongoing ,,01/04/2018,01/04/2019,,
Quarter III,DRC,SHF,Protection,"DRC organized and implemented monthly flow up meetings for camp management committees and community watch group in 4 IDP sites ( Najax, Liban 2, Doxa-Mudug and Wadatal)",DRC,Mudug,Gaalkacyo,"Wadatal, Doxamudug, Najax and Liban 2",,Ongoing ,,01/04/2018,30/04/2019,,
Quarter III,DRC,ECHO,Protection,Provission  of  emergecy refershment  for  the returnees /refugeeupon their arrival at the port and reeption center ,DRC,Bari,Bossaso,Bosaso ,,Ongoing ,,,,,
Quarter III,DSP,DSP,Protection,The first Phase Awareness on Child Protection,DRC,Banadir ,Dayniile,CeebLaawe Center,,Ongoing ,,01/01/2018,31/12/2020,,
Quarter III,UNHCR,UNHCR,Protection,# of refugees and returnees received and provided for protection assistance.,DRC,Woqooyi Galbeed,Berbera,Berbera ,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNHCR,UNHCR,Protection,# of household provided with CRI/NFI on their arrival to Berbera reception center. ,DRC,Woqooyi Galbeed,Berbera,Berbera ,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNHCR,UNHCR,Protection,POCs receive medical assistant at Hargeisa Group Hospital.,DRC,Woqooyi Galbeed,Hargeysa,Hargeysa,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,UNHCR,UNHCR,Protection,Monthly coordination meeting with PRMN partiner,NRC,Lower Juba,Kismayo,Dollow,,Completed,,23/03/2019,23/03/2019,,
Quarter III,UNHCR,UNHCR,Protection,3 Child abandonment  received emergency assistant,NRC,Lower Juba,Kismayo,kismayo,,Completed,,03/03/2019,03/03/2019,,
Quarter III,UNHCR,UNHCR,Protection,4  victims of serious protection   Referraled- Other NGOs,NRC,Lower Juba,Kismayo,kismayo,,Completed,,12/03/2019,12/03/2019,,
Quarter III,Unspecified,Unspecified,Protection,provided medical and trasportation assistance ,NRC,Mudug,Gaalkacyo,Galkacayo,,Completed,,01/01/2019,31/12/2019,,
Quarter III,Unspecified,Unspecified,Protection,legal assistance and counciling ,NRC,Nugaal,Garowe,Garowe,,Completed,,01/01/2019,31/12/2019,,
Quarter III,NRC,DFID,Protection,Legal assistance and Counceling through collabrorative dispute resolution training (CDR),NRC,Bay,Baidoa,Baidoa,,Ongoing ,,18/08/2018,22/07/2022,,
Quarter III,NRC,DFID,Protection,Legal assistance and Counceling through collabrorative dispute resolution training (CDR),NRC,Banadir ,Dharkenley,KAXDA and Daynile ,,Ongoing ,,18/08/2018,22/07/2022,,
Quarter III,UNHCR,UNHCR,Protection,"Survivors received transportation, medical allowance and referred to GBV specialist ",NRC,Banadir ,Dharkenley,KAXDA and Daynile ,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,Unspecified,Unspecified,Protection,Legal assistance and Counceling through collabrorative dispute resolution training (CDR),NRC,Woqooyi Galbeed,Hargeysa,Hargeisa ,,Ongoing ,,02/03/2017,02/02/2019,,
Quarter III,DRC,SHF,Protection,"DRC had established and trained community coexistence forums on Protection principles and human rights, the forum consist of 25 members from four SHF targed location namely Najax and Liban 2 North Galkayo, DoxaMudug and Wadatal South Galkayo.",DRC,Mudug,Gaalkacyo,"Wadatal, Doxamudug, Najax and Liban 2",,Ongoing ,,01/04/2018,30/04/2019,,
Quarter III,DRC,SHF,Protection,Protection cluster led -3 days protection Monitoring training for DRC Protection Monitors and PRMN Monitors (UNHCR & NRC). DRC is required to facilitate this training with protection cluster since we are Co-lead of the protection cluster.. ,DRC,Bay,Baidoa,Staff and partners ,,Completed,,01/05/2018,30/04/2019,,
Quarter III,DDG,DFID,Protection,Mediation training for Guurti plus,DDG,Bakool,Xudur,xudur town,,Completed,,29/09/2017,31/03/2020,,
Quarter III,NRC,SHF,Protection,integrtaed HLP eviction,NRC,Banadir ,Dayniile,,,Completed,,15/03/2019,16/03/2019,,
Quarter III,UNHCR,UNHCR,Protection,conducted communityy action plans for two villages,NRC,Lower Juba,Kismayo,farjano and yontoy,,Completed,,12/03/2019,18/03/2019,,
Quarter III,NRC,BRCIS,Protection,conducted communityy action plans for two villages,NRC,Lower Juba,Kismayo,kismayo,,Completed,,22/03/2019,28/03/2019,,
Quarter III,Unspecified,Unspecified,Protection,structured information session ,NRC,Bari,Bossaso,Bossaso,,Completed,,20/12/2018,20/11/2019,,
Quarter III,Unspecified,Unspecified,Protection,HLP and eviction integrated training ,NRC,Bari,Bossaso,Bossaso,,Completed,,01/01/2019,31/12/2019,,
Quarter III,NRC,SHF,Protection,Provision of information sessions on HLP ,NRC,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2019,15/12/2019,,
Quarter III,NRC,SHF,Protection,Duty bearers and rights holder received HLP eviction training ,NRC,Bay,Baidoa,Baidoa,,Ongoing ,,01/01/2019,15/12/2019,,
Quarter III,NRC,SHF,Protection,Duty bearers and rights holder received HLP eviction training ,NRC,Banadir ,Dharkenley,KAXDA and Daynile ,,Ongoing ,,01/01/2019,15/12/2019,,
Quarter III,NRC,SHF,Protection,# Of Individuals protected from forced eviction threats through preventive engagements,NRC,Banadir ,Dharkenley,KAXDA and Daynile ,,Ongoing ,,01/01/2019,31/12/2019,,
Quarter III,Unspecified,Unspecified,Protection,Three days dispute resolution training through community engagement process has conducted and finally established CDR committee for CANJIID and Kabaalka  cluster of SOOL region targeted by the BRCIS project.,NRC,Sool,Laas Caanood,Canjiid & Kabaalka villages ,,Ongoing ,,01/03/2019,31/03/2022,,
Quarter III,Unspecified,Unspecified,Protection,Three days dispute resolution training through community engagement process has conducted and finally established CDR committee for WAQDARIYA AND ODAGOOYE  cluster of SOOL region targeted by the BRCIS project.,NRC,Sool,Laas Caanood,Waqdariya/OODAGOOYE,,Ongoing ,,01/03/2019,31/03/2022,,
Quarter III,Unspecified,Unspecified,Protection,"The planed March 2019, Somaliland HLP sub working group meeting under the protection cluster has been conducted in NDRA meeting hall, Hargeisa. ",NRC,Woqooyi Galbeed,Hargeysa,Hargeisa ,,Ongoing ,,02/03/2017,01/02/2019,,
Quarter III,Unspecified,Unspecified,Protection,,NRC,Bari,Bossaso,,,Uspecified,,,,,
Quarter III,Unspecified,Unspecified,Protection,,NRC,Woqooyi Galbeed,Hargeysa,,,Uspecified,,,,,
Quarter III,Unspecified,Unspecified,Protection,,NRC,Banadir ,,,,Uspecified,,,,,
Quarter III,UNICEF,UNICEF,Protection,"During the field visit we med with separated children live in the IDP camps in the region. And We assisted them PSS, Registration,Tracing and Reunification with their parents.",SCWRW,Bay,Baidoa,Baidoa/Isha/Laanta 4Aad,,Completed,,01/05/2018,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"During the field visit we med with separated children live in the IDP camps in the region. And We assisted them PSS, Registration,Tracing and Reunification with their parents.",SCWRW,Bay,Diinsoor,Diinsoor/Waberi/Xawo Tako,,Completed,,01/05/2018,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,"During the field visit we med with separated children live in the IDP camps in the region. And We assisted them PSS, Registration,Tracing and Reunification with their parents.",SCWRW,Bakool,Xudur,Xudur/Moora Gaabey,,Completed,,01/05/2018,30/04/2019,,
Quarter III,SCWRW,Dutch,Protection,Incident Case.,SCWRW,Bay,Baidoa,Berdaale,,Completed,,01/03/2019,31/03/2019,,
Quarter III,SCI,SCI,Protection,Activity Meeting Of DRR To Identify DRR issue in 12 School.,SCWRW,Bay,Baidoa,Baidoa/Hawl Wadaag/Laanta,,Completed,,01/01/2019,31/12/2019,,
Quarter III,NORAD,NORAD,Protection,PRMN Programme Activity,SCWRW,Bakool,Waajid,Bakar Weyn,,Completed,,01/01/2019,31/03/2019,,
Quarter III,INTERSOS,INTERSOS,Protection,"During the field visit we med with separated children live in the IDP camps in the region. And We assisted them PSS, Registration,Tracing and Reunification with their parents.",SCWRW,Bay,Baidoa,Baidoa/Isha/Laanta 4Aad,,Completed,,01/03/2019,31/03/2019,,
Quarter III,SSYO,Diaspora,Protection,we are advocating for non-educational students and 215 students provide free education for Primary and intermediate school in Baidoa.,SSYO,Bay,Baidoa,Horsed,,Ongoing ,,07/01/2016,,,
Quarter III,SSYO,Diaspora,Protection,497 provide MRE awareness session in IDP camps in Baidoa ,SSYO,Bay,Baidoa,Horsed,,Ongoing ,,01/01/2018,,,
Quarter III,SSYO,Diaspora,Protection,,SSYO,Bay,Baidoa,Horsed,,Ongoing ,,24/03/2019,,,
Quarter III,UNICEF,UNICEF,Protection,Community discussion meeting on girl's exploitation held for the parents and caregivers,TASS,Nugaal,Garowe,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,school awareness held by school child rights clubs on risks during & after migration,TASS,Bari,Qardho,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,community dialogue on the best parental disciplanry steps for their children,TASS,Bari,Bossaso,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,Case management meeting held to support a very critical case of wounded girl and referred to Bossaso Hospital,TASS,Bari,Bossaso,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,unaccompanied boys were identified and reunified with their extended families through IDTR.,TASS,Sool,Laas Caanood,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,Separated children living within Abuse were identified and referred to Safe-house,TASS,Bari,Bossaso,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,case management meeting held to support the raped girl from Burtinle. She was supported and referred to Garowe for further medication and case court,TASS,Bari,Bossaso,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,children in the desk information centers received psychosocial support activities,TASS,Bari,Bossaso,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,unicef / TASS met with police stations and registered unaccompanied children in the jail and released through advocacy,TASS,Bari,Bossaso,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,Bossaso CP at district level met with police stations and advocated for the children in the station ,TASS,Bari,Bossaso,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,Goup counseling was given to the children affected by protection concerns,TASS,Mudug,Gaalkacyo,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,children injured in child labor & exploitation were identified and supported ,TASS,Mudug,Gaalkacyo,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,jailed Ethiopian migrants released from Armo/ Bosaso ,TASS,Bari,Bossaso,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,Goup counseling was given to the children affected by protection concerns,TASS,Bari,Bossaso,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,Awareness sesion on rape was held for parents and village/IDP leaders,TASS,Mudug,Gaalkacyo,,,Ongoing ,,,,,
Quarter III,UNICEF,UNICEF,Protection,Recreational games given to children with protection concern in the desk information center,TASS,Mudug,Gaalkacyo,,,Ongoing ,,,,,
Quarter III,UNFPA,UNFPA,Protection,conducted awerness on cpcm concering child protection located in donsubalge IDP located in bundaweyn participants are 40 female and 10 male,WARDI,Hiraan,Belet Weyne,Bundaweyn village,,Completed,,01/01/2017,31/12/2018,,
Quarter III,UNFPA,UNFPA,Protection," WARDI also conducted GBV awerness and hygiene promotion in towfiiq IDP total participents are 70(45 female, 25 male)",WARDI,Hiraan,Belet Weyne,Towfiiq IDP,,Completed,,01/01/2017,31/12/2018,,
Quarter III,UNICEF,UNICEF,Protection,awareness raising ,WAAPO,Togdheer,Burco,Koosaar IDP,,Ongoing ,,01/02/2018,31/01/2021,,
Quarter III,UNICEF,UNICEF,Protection,awareness raising ,WAAPO,Woqooyi Galbeed,Hargeysa,Sh. Nur,,Ongoing ,,01/02/2018,31/01/2021,,
Quarter III,IRC,OFDA,Protection,CHW awareness raising,IRC,Nugaal,Burtinle,"Schools, Idps, Health centers and market",,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,IRC,OFDA,Protection,Psychosocial and emotional suport,IRC,Nugaal,Burtinle,IDPS and host communities,,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,IRC,OFDA,Protection, PSYCHOSOCIAL SUPPORT,IRC,Nugaal,Burtinle,IDPS,,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,IRC,OFDA,Protection,Screening,IRC,Nugaal,Burtinle,Kalkaal MCH,,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,IRC,OFDA,Protection,Girl shine ,IRC,Nugaal,Burtinle,IDPS and host community,,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,IRC,OFDA,Protection,EMAP REFLECTION SESSION  FOR 40 PARTICIPANT 20MALE AND 20 FEMALE ,IRC,Nugaal,Burtinle,IDPS,,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,IRC,OFDA,Protection,COMMUNITY LEADERS MEETING 20MALE  PARTICIPANTS ,IRC,Nugaal,Burtinle,Idps and host community,,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,UNFPA,UNFPA,Protection,"We povided medical aid for 3 rape survivor, 19 physical assualt survivor,  3 Denial resource survivor",Muslim Aid,Nugaal,Garowe,Garowe,,Completed,,01/01/2019,31/12/2019,,
Quarter III,UNFPA,UNFPA,Protection,"we provided psychosocial /counselling for 3 rape survivor, 10 physical assualt survivors, 3 Denial resource survivor",Muslim Aid,Nugaal,Garowe,Garowe,,Completed,,01/01/2019,31/12/2019,,
Quarter III,UNFPA,UNFPA,Protection,"we provided legal supports for  2 Rape survivor, 5 Physical Assault survivors, and 3 denial resources survivors",Muslim Aid,Nugaal,Garowe,Garowe,,Completed,,01/01/2019,31/12/2019,,
Quarter III,IRC,OFDA,Protection,PFA,IRC,Nugaal,Burtinle,"iDPS, schools",,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,CARE,OFDA,Protection,"Awareness Raising of the Community against S-GBV, Referral of GBV survivors to the health centers, provision of PSS to survivors of S-GBV",CARE,Bari,Bossaso,Bossasso IDPs,,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,CARE,OFDA,Protection,"Awareness Raising of the Community against S-GBV through house to house visit, public gathering and sensitization events ",CARE,Bari,Bossaso,Bossasso IDPs,,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,CARE,OFDA,Protection,Provision of 25 DKs for 25 SGBV Suurvivors,CARE,Bari,Bossaso,Bossasso IDPs,,Ongoing ,,01/10/2018,30/09/2019,,
Quarter III,ARC,OFDA,Protection," In support to our community Volunteers the team provide Group-based and Household based awareness sensitization (Such as Men’s, women’s and youth Groups  on GBV prevention  and available services  ",ARC,Lower Juba,Afmadow,DHOBLEY,,Ongoing ,,01/04/2018,31/03/2019,,
Quarter III,ARC,OFDA,Protection,"we carried out 3 hours focused Group Discussion on GBV and Gender , the discussion targeted  15 community members , including the current women groups , police officers and teachers , it was aimed  to shed light on  gender diversity and how gender Couse GBV to our community ",ARC,Lower Juba,Afmadow,DHOBLEY,,Ongoing ,,01/04/2018,31/03/2019,,
Quarter III,ARC,OFDA,Protection, in line with universal  standrd we provided comprehensive Medication  to   3  pysicall assault  and 3  sexuall assault cases,ARC,Lower Juba,Afmadow,DHOBLEY,,Ongoing ,,01/04/2018,31/03/2019,,
Quarter III,ARC,OFDA,Protection,we provided  inclusive psychosocial support and counseling to  3  pysical assault and 3  sexual assault cases ,ARC,Lower Juba,Afmadow,DHOBLEY,,Ongoing ,,01/04/2018,31/03/2019,,
Quarter III,ARC,OFDA,Protection,"On Friday, March 8, people throughout the world  celebrate International Women’s Day.  It is a day to honor the tireless work of all of the women who make a difference in our lives, both at work and at home.  Women who inspire us to think boldly across all borders and barriers, demonstrating to us every day the impact of their work and actions.  This is definitely a day to celebrate and highlight the accomplishments of each and every woman. ",ARC,Lower Juba,Afmadow,DHOBLEY,,Ongoing ,,01/04/2018,31/03/2019,,
Quarter III,UNHCR,UNHCR/OFDA,Protection,conducted 16 wareness sessions in the IDP camps ,ARC,Lower Juba,Kismayo,Kismayo,,Ongoing ,,01/04/2018,31/03/2019,,
Quarter III,UNFPA,UNFPA/OFDA,Protection,provided clinical amangement of rape to 2 rape survivors and 1 medication to 1 attempted rape ,ARC,Lower Juba,Kismayo,Kismayo,,Ongoing ,,01/04/2018,31/03/2019,,
Quarter III,UNHCR,UNHCR/OFDA,Protection,provided PSS to 11 survivors ,ARC,Lower Juba,Kismayo,Kismayo,,Ongoing ,,01/04/2018,31/03/2019,,
Quarter III,UNHCR,UNHCR ,Protection,provided legal counseling 28 survivors and legal 10 survivors ,ARC,Lower Juba,Kismayo,Kismayo,,Ongoing ,,01/01/2019,30/06/2019,,
Quarter III,DRC,SHF,Protection,Facilitated monthly meeting for discusion of community challenges and referral mechanism ,DRC,Bay,Baidoa,,,Uspecified,,01/05/2018,30/04/2019,,
Quarter III,DRC,SHF,Protection,"DRC Provided material assistance to 110 HHs of GBV survivors (91female, 9male) from Barwaqo IDP, Budul, Wabi-shabelle, Alla-amin and Ex-airport. DRC distributed material assistance   (Food and Soap bar) to five IDPs in Beletweyne. 110 HH received material assistance for Each GBV survivor received 12.5 kg of Sugar, 12.5 kg of white flour, 3 ltr of Vegetable cooking oil and six pieces of Soap bar.",DRC,Hiraan,Belet Weyne,,,Uspecified,,01/04/2018,01/04/2019,,
Quarter III,DRC,SHF,Protection,"Conducted solar maintenance committee meeting in Beletweyne as 20 persons (15women and 5men) from the IDP camps that DRC previously installed street solar lights including Midnimo, Ceynta, Ex-airport and Alla-amin2 attended the meeting. The purpose is to assess the situation of the installed street solar lights and it condition 5 15 0 0",DRC,Hiraan,Belet Weyne,,,Uspecified,,01/04/2018,01/04/2019,,
Quarter III,DRC,SHF,Protection,"carry out of GBV awareness  ALLA Amin2, Tawakal sigalow, Midnimo, Domey,Wabishabelle, Barwaqo, Ceynte, Kutimbo, Ex-airport in Beletweyne",DRC,Hiraan,Belet Weyne,"Howlwadag, Bundaweyn, Koshin and Hawatako",,Ongoing ,,01/04/2018,01/04/2019,,
Quarter III,DRC,SHF,Protection,Conducted  moblization session in both Kahda and Daynile IDP camps  in informating DSP project activities,DRC,Banadir ,Dharkenley,"Kafi, Alkowthar for Kahda and Sahansaho and Roohan for Daynile",,Ongoing ,,01/01/2018,31/12/2020,,
Quarter III,DRC,SHF,Protection,35 GBV survivors were provided to dry food and dignity kit in collaboration GBV service providers through referral in Galkayo,DRC,Mudug,Gaalkacyo,IDPs settlements,,Ongoing ,,01/04/2018,30/04/2019,,
Quarter III,DRC,SHF,Protection,"Protection team conduted 6 days of GBV awareness to the  SHF Target locations in  Galkayo (Wadatal, DoxaMudug, SYL, Najax, Ayah, Raysqabobe, Liban 2 and Najax)",DRC,Mudug,Gaalkacyo,IDPs settlements,,Ongoing ,,01/04/2018,30/04/2019,,
Quarter III,HRDO,SHF,Protection, HIDIG Conducted five days of GBV awareness raising in Beledweine IDP camps such as Ex airport IDP2 Alla amin2 Tawakal2 350 Female and 100 man From the Up mentioned The IDPs and also shared with them GBV prevention and lessons,HRDO,Hiraan,Belet Weyne,Howl wadag Ex airport IDP alla amiin and Tawakal2 ,,Ongoing ,,01/05/2018,30/04/2019,,
Quarter III,HRDO,SHF,Protection, Provided medical support assistance and counseling services to 8 woman 5 boys from Ex airport2 IDP camp and Tawkal2 who were complaining about domestic physical assaults and wound,HRDO,Hiraan,Belet Weyne,Howl-wadaag Ex Airport IDP and tawakal 2,,Ongoing ,,01/05/2018,30/04/2019,,
Quarter III,HRDO,SHF,Protection,"Supported 12 woman GBV survivors  from ex aiport2, Tawakal 2 alla amiin Idp camps, the survivors received material assistances including dignity kits, and solar touches based on individuals case and needs",HRDO,Hiraan,Belet Weyne,Alla amiin 2and Tawakal 2,,Ongoing ,,01/05/2018,30/04/2019,,
Quarter III,HRDO,SHF,Protection,Supported 36 boys’ child friend Space children from ex airport2 and Tawakal2 and alla min2 IDP camps.,HRDO,Hiraan,Belet Weyne,"EX airport2,Tawakal2,alla amiin2",,Ongoing ,,01/05/2018,30/04/2019,,
Quarter III,UNICEF,UNICEF,Protection,awareness raising and Community outreach through by case workers,HIWA,Hiraan,Belet Weyne,BELET WEYNE,,Uspecified,,,,,
Quarter III,UNICEF,UNICEF,Protection,awareness raising and Community outreach through by case workers,HIWA,Hiraan,Belet Weyne,BELET WEYNE,,Uspecified,,,,,
Quarter III,UNICEF,UNICEF,Protection,Provision of PSS to survivours of sexual violence  In Beletweyne,HIWA,Hiraan,Belet Weyne,BELET WEYNE,,Uspecified,,,,,
Quarter III,UNICEF,UNICEF,Protection,Provision of PSS to survivours of sexual violence  In Bulo burto,HIWA,Hiraan,Bulo Burto,bulo burto,,Uspecified,,,,,
Quarter III,UNICEF,UNICEF,Protection,Distribution of Dignity Kits to GBV survivors,HIWA,Hiraan,Bulo Burto,bulo burto,,Uspecified,,,,,
Quarter III,UNICEF,UNICEF,Protection,Distribution of Dignity Kits to GBV survivors,HIWA,Hiraan,Bulo Burto,bulo burto,,Uspecified,,,,,
